iter	Passed	Remaining
0	1	161
1	3	149
2	4	137
3	5	126
4	6	124
5	7	123
6	9	122
7	10	123
8	13	132
9	14	129
10	15	127
11	17	125
12	18	122
13	19	119
14	20	118
15	22	116
16	23	115
17	25	114
18	26	113
19	27	111
20	29	109
21	30	107
22	31	106
23	33	105
24	34	103
25	35	101
26	37	100
27	38	98
28	40	98
29	41	97
30	43	96
31	44	94
32	45	93
33	47	91
34	48	89
35	49	88
36	50	86
37	52	85
38	54	85
39	56	84
40	57	82
41	57	80
42	59	78
43	60	76
44	61	75
45	63	74
46	64	72
47	65	71
48	67	70
49	69	69
50	71	68
51	72	66
52	73	65
53	75	64
54	76	62
55	77	61
56	79	59
57	81	58
58	82	57
59	84	56
60	85	54
61	86	53
62	88	51
63	89	50
64	90	48
65	91	47
66	93	45
67	94	44
68	96	43
69	97	41
70	98	40
71	99	38
72	101	37
73	102	35
74	103	34
75	104	33
76	106	31
77	107	30
78	109	29
79	110	27
80	111	26
81	113	24
82	114	23
83	115	22
84	117	20
85	118	19
86	119	17
87	120	16
88	122	15
89	127	14
90	129	12
91	131	11
92	132	9
93	133	8
94	135	7
95	136	5
96	138	4
97	139	2
98	140	1
99	142	0
